input_text,target_text,style,original
convert to polite: I'm not sure I'm the right person to ask.,I'm afraid I may not be the best person to ask about that.,polite,I'm not sure I'm the right person to ask.
convert to professional: Please stop interrupting me while I'm speaking.,I must request that you refrain from interjecting while I am in the process of speaking.,professional,Please stop interrupting me while I'm speaking.
convert to emojify: He wore mismatched socks like it was a philosophy.,He wore mismatched socks like it was a philosophy. 🧦🙂,emojify,He wore mismatched socks like it was a philosophy.
convert to emojify: She’s saving money to buy a new laptop.,She’s saving money to buy a new laptop. 🪙🙂,emojify,She’s saving money to buy a new laptop.
convert to casual: I'm not interested in attending the event.,I don't want to go to the event.,casual,I'm not interested in attending the event.
convert to polite: Let me know if you want to carpool.,"If you would like to carpool, please let me know.",polite,Let me know if you want to carpool.
convert to emojify: Where should we go for our team outing?,Where should we go for our team outing? 🤔🏞️,emojify,Where should we go for our team outing?
convert to emojify: She’s allergic to peanuts.,She’s allergic to peanuts. 🚫🥜,emojify,She’s allergic to peanuts.
convert to social: She set ten alarms and still woke up late.,She set ten alarms and still woke up late. 😴⏰ #MorningStruggles #Relatable,social,She set ten alarms and still woke up late.
"convert to polite: The baby won't stop crying, any tips?",The baby is quite upset; would you have any suggestions to help soothe them?,polite,"The baby won't stop crying, any tips?"
convert to emojify: They hummed lullabies to the stars before sleeping.,They hummed lullabies to the stars before sleeping. 🌠🙂,emojify,They hummed lullabies to the stars before sleeping.
convert to social: Pay the electricity bill by Friday to avoid late fees.,Pay the electricity bill by Friday to avoid late fees. 💡💳 #Bills #DueDate,social,Pay the electricity bill by Friday to avoid late fees.
"convert to professional: He started measuring time in coffee cups, not hours.",He began gauging his days by the number of coffee cups rather than by the clock.,professional,"He started measuring time in coffee cups, not hours."
convert to polite: Can you proofread this email before I send it?,Would you mind proofreading this email before I send it out?,polite,Can you proofread this email before I send it?
